"","Modelo","R2","RMSE","MSE"
"1","RLM1","0.43","80.923","6548.593"
"2","RLM2","0.53","73.659","5425.719"
"3","RLM3","0.54","72.385","5239.58"
"4","RLM4","0.51","234.704","55085.835"
